SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
GTNTEX, BE, 08-Jan-2018, 25.80, 25.80, 26.35, 25.00, 25.80, 25.80, 25.41, 24852, 6.32, 84, -, -
GTPL, EQ, 08-Jan-2018, 160.75, 160.95, 164.80, 160.55, 160.70, 161.45, 162.00, 33986, 55.06, 721, 23562, 69.33
GUFICBIO, EQ, 08-Jan-2018, 137.10, 138.45, 138.65, 134.00, 134.50, 134.60, 135.78, 121750, 165.31, 2260, 75982, 62.41
GUJALKALI, EQ, 08-Jan-2018, 790.60, 796.00, 816.25, 791.20, 795.00, 797.55, 799.80, 143538, 1148.01, 4452, 58330, 40.64
GUJAPOLLO, EQ, 08-Jan-2018, 233.60, 234.05, 239.90, 233.75, 235.00, 235.25, 236.55, 7119, 16.84, 194, 4040, 56.75
GUJFLUORO, EQ, 08-Jan-2018, 885.65, 888.60, 917.00, 887.00, 900.00, 899.70, 905.73, 73283, 663.75, 3272, 30468, 41.58
GUJGASLTD, EQ, 08-Jan-2018, 870.90, 879.55, 889.85, 867.00, 887.00, 885.50, 882.69, 37277, 329.04, 2377, 22572, 60.55
GUJNRECOKE, EQ, 08-Jan-2018, 1.50, 1.55, 1.55, 1.50, 1.55, 1.55, 1.54, 11045972, 169.75, 1373, 7374337, 66.76
GUJNREDVR, EQ, 08-Jan-2018, 1.55, 1.50, 1.50, 1.50, 1.50, 1.50, 1.50, 85236, 1.28, 108, 85236, 100.00
GUJRAFFIA, BE, 08-Jan-2018, 70.40, 70.35, 71.00, 67.05, 67.05, 67.05, 70.24, 154, 0.11, 4, -, -
GULFOILLUB, EQ, 08-Jan-2018, 973.25, 973.25, 989.00, 965.00, 985.00, 986.20, 978.20, 17107, 167.34, 768, 12714, 74.32
GULFPETRO, EQ, 08-Jan-2018, 87.20, 87.95, 87.95, 85.60, 86.00, 85.95, 86.50, 59775, 51.71, 555, 41343, 69.16
GULPOLY, EQ, 08-Jan-2018, 88.80, 89.65, 92.95, 88.20, 90.80, 91.25, 91.62, 375264, 343.81, 3248, 241709, 64.41
GVKPIL, BE, 08-Jan-2018, 20.05, 20.45, 21.05, 19.60, 21.05, 21.05, 20.42, 3760536, 768.09, 4442, -, -
HANUNG, BE, 08-Jan-2018, 4.70, 4.90, 4.90, 4.90, 4.90, 4.90, 4.90, 22652, 1.11, 54, -, -
HARITASEAT, EQ, 08-Jan-2018, 1019.45, 1088.00, 1103.40, 1065.00, 1084.00, 1089.25, 1085.57, 53716, 583.13, 3533, 26797, 49.89
HARRMALAYA, BE, 08-Jan-2018, 95.75, 95.75, 98.80, 95.20, 96.60, 96.75, 97.09, 39871, 38.71, 211, -, -
HATHWAY, EQ, 08-Jan-2018, 40.00, 39.70, 40.50, 39.60, 39.90, 39.80, 40.00, 117145, 46.85, 645, 74255, 63.39
HATSUN, EQ, 08-Jan-2018, 838.60, 845.00, 852.65, 839.55, 842.00, 843.35, 845.06, 22284, 188.31, 861, 15165, 68.05
HAVELLS, EQ, 08-Jan-2018, 566.05, 566.50, 571.50, 560.90, 563.60, 563.10, 564.73, 893255, 5044.45, 21240, 284589, 31.86
HBLPOWER, EQ, 08-Jan-2018, 73.50, 74.00, 74.40, 72.70, 73.30, 73.30, 73.48, 1097409, 806.36, 8027, 601940, 54.85
HBSTOCK, EQ, 08-Jan-2018, 56.25, 56.55, 58.80, 53.45, 53.45, 54.05, 54.55, 350713, 191.31, 2098, 170297, 48.56
HCC, EQ, 08-Jan-2018, 41.95, 42.10, 44.10, 42.10, 43.30, 43.35, 43.38, 23655626, 10260.74, 39567, 6286814, 26.58
HCG, EQ, 08-Jan-2018, 295.55, 295.55, 298.00, 290.00, 290.00, 294.25, 295.33, 18935, 55.92, 569, 13895, 73.38
HCL-INSYS, EQ, 08-Jan-2018, 59.80, 59.30, 63.45, 59.00, 63.20, 63.00, 61.79, 9711081, 6000.07, 24012, 3645030, 37.53
HCLTECH, EQ, 08-Jan-2018, 900.05, 900.15, 903.40, 895.10, 896.15, 900.50, 899.02, 1176584, 10577.73, 57038, 954078, 81.09
HDFC, EQ, 08-Jan-2018, 1725.20, 1729.25, 1745.00, 1729.00, 1740.00, 1740.95, 1738.55, 2997037, 52105.01, 92109, 2348219, 78.35
HDFC, W2, 08-Jan-2018, 296.85, 312.00, 312.00, 305.05, 310.00, 310.00, 308.43, 65700, 202.64, 9, 58400, 88.89
HDFCBANK, EQ, 08-Jan-2018, 1863.60, 1865.00, 1870.70, 1857.75, 1864.00, 1860.60, 1861.87, 1142577, 21273.31, 17668, 792771, 69.38
HDFCBANK, IL, 08-Jan-2018, 1865.00, 1870.00, 1870.00, 1865.50, , 1866.00, 1866.50, 110000, 2053.15, 11, 110000, 100.00
HDFCLIFE, EQ, 08-Jan-2018, 407.00, 410.00, 428.30, 409.55, 420.00, 422.10, 422.64, 3806105, 16086.11, 79939, 2089191, 54.89
HDFCMFGETF, EQ, 08-Jan-2018, 2703.35, 2704.45, 2724.00, 2704.40, 2708.15, 2718.30, 2714.11, 1970, 53.47, 231, 1388, 70.46
HDFCNIFETF, EQ, 08-Jan-2018, 1075.00, 1082.50, 1083.10, 1080.29, 1082.35, 1082.35, 1081.54, 1086, 11.75, 22, 548, 50.46
HDFCSENETF, EQ, 08-Jan-2018, 3540.00, 3600.00, 3600.00, 3600.00, 3600.00, 3600.00, 3600.00, 1, 0.04, 1, 1, 100.00
HDIL, EQ, 08-Jan-2018, 63.95, 64.35, 66.20, 64.10, 64.40, 64.55, 65.13, 17343331, 11294.91, 41717, 4608209, 26.57
HECPROJECT, SM, 08-Jan-2018, 182.00, 180.00, 191.10, 180.00, 191.10, 191.10, 187.90, 4800, 9.02, 4, 3600, 75.00
HEG, EQ, 08-Jan-2018, 2479.75, 2576.00, 2603.70, 2536.05, 2603.70, 2603.70, 2595.69, 328946, 8538.41, 12135, 157153, 47.77
HEIDELBERG, EQ, 08-Jan-2018, 168.65, 170.00, 171.50, 165.05, 168.55, 167.80, 168.11, 574491, 965.78, 3256, 396499, 69.02
HEOF1100RG, MF, 08-Jan-2018, 9.55, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 5000, 0.48, 1, 5000, 100.00
HERCULES, EQ, 08-Jan-2018, 155.05, 156.50, 159.00, 155.10, 155.70, 155.85, 156.84, 70773, 111.00, 994, 33355, 47.13
HERITGFOOD, EQ, 08-Jan-2018, 830.25, 832.80, 839.10, 825.00, 835.45, 836.65, 834.39, 26927, 224.67, 894, 21438, 79.62
HEROMOTOCO, EQ, 08-Jan-2018, 3744.65, 3773.00, 3792.00, 3745.30, 3784.75, 3786.75, 3779.14, 249549, 9430.80, 29001, 150130, 60.16
HESTERBIO, EQ, 08-Jan-2018, 1799.90, 1800.00, 1832.00, 1788.00, 1788.00, 1794.50, 1799.26, 5356, 96.37, 647, 3441, 64.25
HEXATRADEX, BE, 08-Jan-2018, 84.65, 88.85, 88.85, 88.85, 88.85, 88.85, 88.85, 21501, 19.10, 88, -, -
HEXAWARE, EQ, 08-Jan-2018, 358.70, 359.80, 365.80, 359.45, 363.50, 363.85, 363.48, 1218446, 4428.77, 14766, 299454, 24.58
HFCL, EQ, 08-Jan-2018, 33.10, 33.35, 34.30, 32.70, 33.20, 33.25, 33.51, 11846025, 3969.78, 17664, 4376962, 36.95
HGS, EQ, 08-Jan-2018, 892.55, 899.85, 910.95, 888.85, 904.75, 900.60, 898.58, 53589, 481.54, 2467, 29182, 54.46
HHOF1140RG, MF, 08-Jan-2018, 10.05, 11.00, 11.00, 11.00, 11.00, 11.00, 11.00, 100, 0.01, 1, 100, 100.00
HIGHGROUND, EQ, 08-Jan-2018, 16.75, 16.90, 17.00, 16.65, 16.70, 16.80, 16.89, 995683, 168.22, 850, 863712, 86.75
HIKAL, EQ, 08-Jan-2018, 241.65, 243.90, 245.05, 240.80, 242.00, 242.50, 243.31, 89521, 217.81, 1136, 57859, 64.63
HIL, EQ, 08-Jan-2018, 1607.50, 1615.50, 1615.50, 1579.40, 1591.00, 1605.35, 1597.32, 13162, 210.24, 1766, 6882, 52.29
HILTON, EQ, 08-Jan-2018, 43.40, 43.60, 45.50, 42.20, 43.50, 43.20, 44.15, 445152, 196.52, 2374, 248030, 55.72
HIMATSEIDE, EQ, 08-Jan-2018, 398.45, 397.30, 411.90, 394.00, 408.30, 407.70, 405.74, 180216, 731.21, 4040, 106238, 58.95
HINDALCO, EQ, 08-Jan-2018, 276.40, 277.00, 279.05, 273.70, 276.20, 276.15, 275.78, 4157464, 11465.31, 39772, 1171717, 28.18
HINDCOMPOS, EQ, 08-Jan-2018, 542.90, 543.05, 558.00, 541.20, 558.00, 550.90, 547.48, 11622, 63.63, 609, 8226, 70.78
HINDCOPPER, EQ, 08-Jan-2018, 99.50, 100.00, 100.40, 97.15, 97.35, 97.45, 98.39, 4986645, 4906.25, 16524, 3104181, 62.25
HINDDORROL, BE, 08-Jan-2018, 9.30, 9.30, 9.45, 9.00, 9.30, 9.05, 9.15, 132134, 12.09, 118, -, -
HINDMOTORS, EQ, 08-Jan-2018, 9.25, 9.45, 10.25, 9.20, 10.10, 10.05, 9.90, 2482076, 245.78, 2755, 1031006, 41.54
HINDNATGLS, EQ, 08-Jan-2018, 160.25, 160.00, 162.95, 160.00, 161.50, 160.60, 160.79, 1752, 2.82, 25, 992, 56.62
HINDOILEXP, EQ, 08-Jan-2018, 133.20, 133.20, 143.00, 130.65, 142.60, 141.70, 137.95, 5076044, 7002.58, 23379, 1525475, 30.05
HINDPETRO, EQ, 08-Jan-2018, 415.00, 417.50, 423.60, 416.80, 422.40, 421.15, 419.93, 2147719, 9019.00, 58271, 1042450, 48.54
HINDSYNTEX, BE, 08-Jan-2018, 7.45, 7.35, 7.35, 7.15, 7.15, 7.15, 7.33, 1291, 0.09, 3, -, -
HINDUJAVEN, EQ, 08-Jan-2018, 776.75, 786.95, 790.00, 770.10, 790.00, 784.60, 780.49, 14369, 112.15, 385, 12646, 88.01
HINDUNILVR, EQ, 08-Jan-2018, 1356.55, 1348.60, 1371.00, 1348.60, 1370.00, 1368.40, 1363.11, 801796, 10929.40, 28669, 536934, 66.97
HINDZINC, EQ, 08-Jan-2018, 313.80, 314.05, 318.85, 314.00, 317.35, 318.00, 316.34, 1061554, 3358.15, 10768, 199326, 18.78
HIRECT, EQ, 08-Jan-2018, 134.20, 132.05, 138.00, 132.05, 135.50, 135.50, 135.72, 11900, 16.15, 158, 8478, 71.24
HISARMETAL, BE, 08-Jan-2018, 112.10, 110.05, 112.15, 107.05, 107.55, 107.85, 110.17, 2531, 2.79, 41, -, -
HITECH, SM, 08-Jan-2018, 396.50, 399.00, 407.00, 366.50, 379.00, 379.00, 387.88, 6000, 23.27, 4, 3000, 50.00
HITECHCORP, EQ, 08-Jan-2018, 196.70, 196.50, 198.80, 192.25, 195.00, 195.40, 195.10, 13346, 26.04, 173, 8316, 62.31
HITECHGEAR, EQ, 08-Jan-2018, 533.70, 540.00, 543.00, 533.10, 535.00, 535.60, 536.29, 26011, 139.49, 659, 21119, 81.19
HMT, BZ, 08-Jan-2018, 41.95, 42.00, 42.90, 41.25, 42.00, 42.60, 41.87, 12415, 5.20, 62, -, -
HMVL, EQ, 08-Jan-2018, 250.70, 251.00, 262.00, 251.00, 258.00, 258.30, 256.97, 55478, 142.56, 1180, 37194, 67.04
HNGSNGBEES, EQ, 08-Jan-2018, 2990.00, 3005.00, 3005.00, 2850.01, 2999.66, 2999.66, 2863.76, 45, 1.29, 25, 44, 97.78
HONAUT, EQ, 08-Jan-2018, 18772.45, 18900.95, 19370.05, 18800.05, 19000.00, 19045.80, 19162.85, 925, 177.26, 521, 532, 57.51
HONDAPOWER, EQ, 08-Jan-2018, 1489.25, 1511.55, 1544.35, 1482.55, 1506.00, 1514.05, 1519.73, 10757, 163.48, 961, 5303, 49.30
HOTELEELA, EQ, 08-Jan-2018, 22.55, 22.75, 24.70, 22.55, 24.00, 24.15, 23.95, 3221871, 771.63, 6324, 1383562, 42.94
HOTELRUGBY, BE, 08-Jan-2018, 2.75, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 20, 0.00, 1, -, -
HOVS, BE, 08-Jan-2018, 336.50, 339.00, 348.95, 331.20, 339.85, 334.25, 337.95, 8694, 29.38, 158, -, -
HPL, EQ, 08-Jan-2018, 152.20, 153.65, 156.00, 152.00, 154.65, 155.05, 154.42, 186087, 287.36, 2214, 111060, 59.68
HSCL, EQ, 08-Jan-2018, 170.95, 170.70, 185.90, 170.50, 184.00, 184.15, 179.97, 6076378, 10935.36, 41649, 2073502, 34.12
HSIL, EQ, 08-Jan-2018, 493.80, 499.50, 500.00, 486.05, 488.75, 488.20, 491.11, 89667, 440.37, 2033, 76094, 84.86
HTMEDIA, EQ, 08-Jan-2018, 108.10, 109.45, 112.40, 108.25, 109.00, 109.15, 110.39, 2632088, 2905.53, 39586, 1505332, 57.19
HUBTOWN, EQ, 08-Jan-2018, 159.90, 161.00, 167.00, 158.70, 164.00, 163.05, 163.31, 2511013, 4100.73, 11858, 1724071, 68.66
HUDCO, EQ, 08-Jan-2018, 83.90, 84.15, 85.55, 83.70, 84.60, 84.60, 84.54, 3617023, 3057.70, 12143, 1566259, 43.30
HUDCO, N2, 08-Jan-2018, 1230.00, 1225.00, 1229.00, 1225.00, 1229.00, 1229.00, 1227.65, 37, 0.45, 3, 37, 100.00
HUDCO, N3, 08-Jan-2018, 1155.00, 1143.05, 1158.70, 1143.05, 1158.70, 1158.68, 1158.31, 420, 4.86, 7, 410, 97.62
HUDCO, N5, 08-Jan-2018, 1179.00, 1158.10, 1161.26, 1158.10, 1161.26, 1161.26, 1159.68, 2, 0.02, 2, 1, 50.00
HUDCO, N8, 08-Jan-2018, 1186.24, 1168.25, 1177.00, 1168.25, 1175.00, 1175.00, 1173.45, 325, 3.81, 6, 325, 100.00
HUDCO, N9, 08-Jan-2018, 1115.00, 1117.00, 1130.00, 1115.00, 1130.00, 1130.00, 1119.06, 358, 4.01, 6, 358, 100.00
HUDCO, NB, 08-Jan-2018, 1184.00, 1195.00, 1195.00, 1195.00, 1195.00, 1195.00, 1195.00, 500, 5.98, 1, 500, 100.00
HUDCO, ND, 08-Jan-2018, 1205.00, 1200.00, 1201.00, 1195.00, 1197.25, 1196.88, 1198.37, 900, 10.79, 15, 900, 100.00
HUDCO, NE, 08-Jan-2018, 1279.50, 1283.99, 1283.99, 1278.80, 1278.80, 1282.50, 1281.76, 193, 2.47, 11, 181, 93.78
IBREALEST, EQ, 08-Jan-2018, 221.25, 222.40, 232.40, 219.10, 228.45, 229.25, 226.60, 13018484, 29500.39, 67345, 5424874, 41.67
IBULHSGFIN, EQ, 08-Jan-2018, 1198.95, 1202.00, 1228.30, 1196.80, 1223.15, 1225.30, 1210.65, 971947, 11766.92, 48850, 548390, 56.42
IBULHSGFIN, N3, 08-Jan-2018, 992.01, 1020.00, 1020.00, 1020.00, 1020.00, 1020.00, 1020.00, 15, 0.15, 1, 15, 100.00
IBULHSGFIN, N4, 08-Jan-2018, 1103.10, 1084.00, 1084.00, 1081.00, 1081.00, 1081.00, 1083.40, 10, 0.11, 2, 10, 100.00
IBULHSGFIN, NA, 08-Jan-2018, 1073.98, 1073.99, 1073.99, 1035.01, 1035.01, 1035.01, 1035.35, 116, 1.20, 3, 116, 100.00
IBVENTURES, EQ, 08-Jan-2018, 260.65, 265.00, 272.40, 262.00, 268.20, 268.20, 266.98, 2113549, 5642.74, 22030, 1132242, 53.57
ICEMAKE, SM, 08-Jan-2018, 118.55, 118.00, 118.35, 114.20, 115.00, 114.95, 116.13, 180000, 209.03, 85, 126000, 70.00
ICICIBANK, EQ, 08-Jan-2018, 312.90, 313.50, 318.20, 312.60, 313.40, 314.15, 315.42, 7329648, 23119.42, 58616, 4017774, 54.82
ICICIGI, EQ, 08-Jan-2018, 822.05, 822.00, 850.00, 815.05, 846.65, 847.95, 845.36, 391458, 3309.22, 25254, 303977, 77.65
ICICIPRULI, EQ, 08-Jan-2018, 394.15, 396.00, 414.00, 394.25, 414.00, 411.80, 406.09, 2269846, 9217.58, 35193, 1243176, 54.77
ICIL, EQ, 08-Jan-2018, 121.10, 122.45, 125.05, 121.70, 124.30, 124.20, 123.60, 2169567, 2681.49, 10848, 600662, 27.69
